"","Site.ID","Season","sortchem","Watershed","Site","Sample.Date","Year","Latitude..degrees.","Longitude..degrees.","Area..km2.","Temperature..C.","Specific.Conductance..uS.cm.","pH","Dissolved.Oxygen..percent.saturation.","Turbidity..NTU.","DOC..uM.","TDN..uM.","Nitrate..uM.","Ammonium..uM.","DON..uM.","SRP..uM.","PP..uM.","TDP..uM.","SUVA254..L.mg.C.m.","Spectral.Ratio","abs254..Absorbance.","Acetate..ppm.","Formate..ppm.","Nitrite..ppm.","Sulfate..ppm.","Phosphate..ppm.","Al..ppm.","As..ppm.","B..ppm.","Ba..ppm.","Br..ppm.","Ca..ppm.","Ca.Na.ratio","Ca.Ba.ratio","Cd..ppm.","Cl..ppm.","Co..ppm.","Cr..ppm.","Cu..ppm.","F..ppm.","Fe..ppm.","K..ppm.","Mg..ppm.","Mn..ppm.","Mo..ppm.","Na..ppm.","Ni..ppm.","Li..ppm.","P..ppm.","Pb..ppm.","S..ppm.","Se..ppm.","Si..ppm.","Sr..ppm.","Ti..ppm.","V..ppm.","Zn..ppm.","area_km2","NDVI2012_MEAN","NDVI2012_STD","NDVI2012_RANGE","SL_60_MEAN","SL_60_STD","SL_60_RANGE","SP_1000_MEAN","SP_240_MEAN","Alpine_Non.Carbonate_Barrens","Alpine_Non.Carbonate_Dryas_Dwarf_Shrub","Lowland_Low_Birch.Willow_Shrub","Lowland_Water","Lowland_Wet_Sedge_Tundra","Upland_Birch.Aspen.Spruce_Forest","Upland_Dryas_Dwarf_Shrub_Tundra","Upland_Low_Birch.Willow_Shrub_Tundra","Upland_Moist_Sedge_Shrub","Upland_Shrubby_Tussock_Tundra","Cloud_Ice_Snow","Riverine_Water_Shrub_Wet_Sedge_Barrens"
"294","OKS15","Early","2018-4013","OKS",15,"2018-06-04",2018,68.66135,-149.1954,50.533625,-7777,-7777,-7777,-7777,-7777,470.1882286,10.79021103,0.887,-7777,9.903211027,0.071,0.284331557,0.251397186,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0226,-7777,-7777,0.0133,-7777,2.816,12.49889037,211.7293233,-7777,-7777,-7777,0.0021,-7777,-7777,0.1388,0.2509,0.5589,0.0053,0.0012,0.2253,-7777,-7777,-7777,-7777,0.5116,0.0119,0.3124,0.0053,-7777,0.0019,-7777,50.533625,4958.965075,1169.178477,9705,2.625845724,2.732119291,30.31105614,45.25748262,-0.049162191,0,0.126415497,0.423758992,5.718965886,4.079125418,0,0,11.73705577,20.51848159,57.39619685,0,0
"295","OKS15","Late","2017-4113","OKS",15,"2017-08-24",2017,68.66135,-149.1954,50.533625,7.5,50.8,8.35,98.4,0.53,378.082841,8.751333506,1.895376807,0.40643835,6.449518349,0.052322505,-7777,0.06240858,3.394729276,1.80452,15.4156,0.082,-7777,-7777,56.3722,-7777,0.011,5e-04,5e-04,0.0145,-7777,7.815,15.84228664,538.9655172,4e-04,14.7905,3e-04,0.0013,8e-04,1.4381,0.0897,0.1817,1.569,0.0186,9e-04,0.4933,6e-04,0.3588,0.0421,8e-04,1.78,0.0048,0.8038,0.0158,1e-04,0.0034,3e-04,50.533625,4958.965075,1169.178477,9705,2.625845724,2.732119291,30.31105614,45.25748262,-0.049162191,0,0.126415497,0.423758992,5.718965886,4.079125418,0,0,11.73705577,20.51848159,57.39619685,0,0
"296","OKS15","Late","2017-4113","OKS",15,"2017-08-24",2017,68.66135,-149.1954,50.533625,7.5,50.8,8.35,98.4,0.53,378.082841,8.751333506,1.895376807,0.40643835,6.449518349,0.052322505,-7777,0.06240858,3.394729276,1.80452,15.4156,0.082,-7777,-7777,56.3722,-7777,0.011,5e-04,5e-04,0.0145,-7777,7.815,15.84228664,538.9655172,4e-04,14.7905,3e-04,0.0013,8e-04,1.4381,0.0897,0.1817,1.569,0.0186,9e-04,0.4933,6e-04,0.3588,0.0421,8e-04,1.78,0.0048,0.8038,0.0158,1e-04,0.0034,3e-04,50.533625,4958.965075,1169.178477,9705,2.625845724,2.732119291,30.31105614,45.25748262,-0.049162191,0,0.126415497,0.423758992,5.718965886,4.079125418,0,0,11.73705577,20.51848159,57.39619685,0,0
"297","OKS15","Late","2017-4113","OKS",15,"2017-08-24",2017,68.66135,-149.1954,50.533625,7.5,50.8,8.35,98.4,0.53,378.082841,8.751333506,1.895376807,0.40643835,6.449518349,0.052322505,-7777,0.06240858,3.394729276,1.80452,15.4156,0.082,-7777,-7777,56.3722,-7777,0.011,5e-04,5e-04,0.0145,-7777,7.815,15.84228664,538.9655172,4e-04,14.7905,3e-04,0.0013,8e-04,1.4381,0.0897,0.1817,1.569,0.0186,9e-04,0.4933,6e-04,0.3588,0.0421,8e-04,1.78,0.0048,0.8038,0.0158,1e-04,0.0034,3e-04,50.533625,4958.965075,1169.178477,9705,2.625845724,2.732119291,30.31105614,45.25748262,-0.049162191,0,0.126415497,0.423758992,5.718965886,4.079125418,0,0,11.73705577,20.51848159,57.39619685,0,0
"298","OKS16","Early","2017-4014","OKS",16,"2017-06-03",2017,68.64811,-149.21931,35.6831,4.8,29,7.02,97.4,1.03,403.8996735,6.690889083,0.511479149,2.387526774,3.79188316,0.00858672,-7777,0.162661815,3.815429913,7.0648,18.5091,0.175,0.0807,-7777,14.0116,0.0223,0.0035,0.0125,0.0015,0.0063,-7777,2.288,14.65727098,363.1746032,2e-04,1.7082,1e-04,0.0012,0.0021,0.6082,0.0462,0.1239,0.4487,0.003,0.0012,0.1561,3e-04,0.3286,0.0197,0.003,0.457,9e-04,0.3482,0.0044,4e-04,0.0022,-7777,35.6831,4817.073365,1339.200617,9705,3.019172732,3.025107299,30.31105614,55.62717303,-0.094161447,0,0.110803324,0.460841098,7.980357593,4.427096449,0,0,12.51322085,19.75069252,54.75698816,0,0
"299","OKS16","Early","2017-4014","OKS",16,"2017-06-03",2017,68.64811,-149.21931,35.6831,4.8,29,7.02,97.4,1.03,403.8996735,6.690889083,0.511479149,2.387526774,3.79188316,0.00858672,-7777,0.162661815,3.815429913,7.0648,18.5091,0.175,0.0807,-7777,14.0116,0.0223,0.0035,0.0125,0.0015,0.0063,-7777,2.288,14.65727098,363.1746032,2e-04,1.7082,1e-04,0.0012,0.0021,0.6082,0.0462,0.1239,0.4487,0.003,0.0012,0.1561,3e-04,0.3286,0.0197,0.003,0.457,9e-04,0.3482,0.0044,4e-04,0.0022,-7777,35.6831,4817.073365,1339.200617,9705,3.019172732,3.025107299,30.31105614,55.62717303,-0.094161447,0,0.110803324,0.460841098,7.980357593,4.427096449,0,0,12.51322085,19.75069252,54.75698816,0,0
"300","OKS16","Early","2017-4014","OKS",16,"2017-06-03",2017,68.64811,-149.21931,35.6831,4.8,29,7.02,97.4,1.03,403.8996735,6.690889083,0.511479149,2.387526774,3.79188316,0.00858672,-7777,0.162661815,3.815429913,7.0648,18.5091,0.175,0.0807,-7777,14.0116,0.0223,0.0035,0.0125,0.0015,0.0063,-7777,2.288,14.65727098,363.1746032,2e-04,1.7082,1e-04,0.0012,0.0021,0.6082,0.0462,0.1239,0.4487,0.003,0.0012,0.1561,3e-04,0.3286,0.0197,0.003,0.457,9e-04,0.3482,0.0044,4e-04,0.0022,-7777,35.6831,4817.073365,1339.200617,9705,3.019172732,3.025107299,30.31105614,55.62717303,-0.094161447,0,0.110803324,0.460841098,7.980357593,4.427096449,0,0,12.51322085,19.75069252,54.75698816,0,0
"301","OKS16","Early","2018-4014","OKS",16,"2018-06-04",2018,68.64811,-149.21931,35.6831,-7777,-7777,-7777,-7777,-7777,440.5787411,12.2050179,1.093,-7777,11.1120179,0.038,0.216174704,0.17194946,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0149,0.0094,-7777,0.0162,-7777,4.764,15.04262709,294.0740741,-7777,-7777,0.0023,-7777,-7777,-7777,0.1344,0.4008,0.8255,0.03,-7777,0.3167,-7777,-7777,0.0067,-7777,0.9269,-7777,0.3731,0.0085,-7777,0.0034,-7777,35.6831,4817.073365,1339.200617,9705,3.019172732,3.025107299,30.31105614,55.62717303,-0.094161447,0,0.110803324,0.460841098,7.980357593,4.427096449,0,0,12.51322085,19.75069252,54.75698816,0,0
"302","OKS16","Early","2018-4014","OKS",16,"2018-06-04",2018,68.64811,-149.21931,35.6831,-7777,-7777,-7777,-7777,-7777,440.5787411,12.2050179,1.093,-7777,11.1120179,0.038,0.216174704,0.17194946,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0149,0.0094,-7777,0.0162,-7777,4.764,15.04262709,294.0740741,-7777,-7777,0.0023,-7777,-7777,-7777,0.1344,0.4008,0.8255,0.03,-7777,0.3167,-7777,-7777,0.0067,-7777,0.9269,-7777,0.3731,0.0085,-7777,0.0034,-7777,35.6831,4817.073365,1339.200617,9705,3.019172732,3.025107299,30.31105614,55.62717303,-0.094161447,0,0.110803324,0.460841098,7.980357593,4.427096449,0,0,12.51322085,19.75069252,54.75698816,0,0
"303","OKS16","Early","2018-4014","OKS",16,"2018-06-04",2018,68.64811,-149.21931,35.6831,-7777,-7777,-7777,-7777,-7777,440.5787411,12.2050179,1.093,-7777,11.1120179,0.038,0.216174704,0.17194946,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0149,0.0094,-7777,0.0162,-7777,4.764,15.04262709,294.0740741,-7777,-7777,0.0023,-7777,-7777,-7777,0.1344,0.4008,0.8255,0.03,-7777,0.3167,-7777,-7777,0.0067,-7777,0.9269,-7777,0.3731,0.0085,-7777,0.0034,-7777,35.6831,4817.073365,1339.200617,9705,3.019172732,3.025107299,30.31105614,55.62717303,-0.094161447,0,0.110803324,0.460841098,7.980357593,4.427096449,0,0,12.51322085,19.75069252,54.75698816,0,0
"304","OKS16","Late","2017-4114","OKS",16,"2017-08-24",2017,68.64811,-149.21931,35.6831,7.9,37.1,7.51,98.4,0.63,363.269572,8.189796077,0.863342779,0.454529505,6.871923793,0.065605753,-7777,0.04747292,3.402105308,2.31057,14.8438,-7777,-7777,-7777,71.2568,-7777,0.0052,0.0026,0.0017,0.0201,-7777,8.35,14.83653163,415.4228856,8e-04,2.2251,-7777,5e-04,0.0022,1.4715,0.0864,0.1851,1.662,0.0196,0.0019,0.5628,0.0019,0.357,0.0052,4e-04,2.239,0.0047,0.693,0.0159,4e-04,0.0039,0.0016,35.6831,4817.073365,1339.200617,9705,3.019172732,3.025107299,30.31105614,55.62717303,-0.094161447,0,0.110803324,0.460841098,7.980357593,4.427096449,0,0,12.51322085,19.75069252,54.75698816,0,0
"305","OKS16","Late","2017-4114","OKS",16,"2017-08-24",2017,68.64811,-149.21931,35.6831,7.9,37.1,7.51,98.4,0.63,363.269572,8.189796077,0.863342779,0.454529505,6.871923793,0.065605753,-7777,0.04747292,3.402105308,2.31057,14.8438,-7777,-7777,-7777,71.2568,-7777,0.0052,0.0026,0.0017,0.0201,-7777,8.35,14.83653163,415.4228856,8e-04,2.2251,-7777,5e-04,0.0022,1.4715,0.0864,0.1851,1.662,0.0196,0.0019,0.5628,0.0019,0.357,0.0052,4e-04,2.239,0.0047,0.693,0.0159,4e-04,0.0039,0.0016,35.6831,4817.073365,1339.200617,9705,3.019172732,3.025107299,30.31105614,55.62717303,-0.094161447,0,0.110803324,0.460841098,7.980357593,4.427096449,0,0,12.51322085,19.75069252,54.75698816,0,0
"306","OKS16","Late","2017-4114","OKS",16,"2017-08-24",2017,68.64811,-149.21931,35.6831,7.9,37.1,7.51,98.4,0.63,363.269572,8.189796077,0.863342779,0.454529505,6.871923793,0.065605753,-7777,0.04747292,3.402105308,2.31057,14.8438,-7777,-7777,-7777,71.2568,-7777,0.0052,0.0026,0.0017,0.0201,-7777,8.35,14.83653163,415.4228856,8e-04,2.2251,-7777,5e-04,0.0022,1.4715,0.0864,0.1851,1.662,0.0196,0.0019,0.5628,0.0019,0.357,0.0052,4e-04,2.239,0.0047,0.693,0.0159,4e-04,0.0039,0.0016,35.6831,4817.073365,1339.200617,9705,3.019172732,3.025107299,30.31105614,55.62717303,-0.094161447,0,0.110803324,0.460841098,7.980357593,4.427096449,0,0,12.51322085,19.75069252,54.75698816,0,0
"307","OKS16","Late","2018-4114","OKS",16,"2018-08-23",2018,68.64811,-149.21931,35.6831,-7777,-7777,-7777,-7777,-7777,369.6308002,10.76061845,0.888,-7777,9.872618453,0.034,0.020552143,0.102975306,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,35.6831,4817.073365,1339.200617,9705,3.019172732,3.025107299,30.31105614,55.62717303,-0.094161447,0,0.110803324,0.460841098,7.980357593,4.427096449,0,0,12.51322085,19.75069252,54.75698816,0,0
"308","OKS16","Late","2018-4114","OKS",16,"2018-08-23",2018,68.64811,-149.21931,35.6831,-7777,-7777,-7777,-7777,-7777,369.6308002,10.76061845,0.888,-7777,9.872618453,0.034,0.020552143,0.102975306,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,35.6831,4817.073365,1339.200617,9705,3.019172732,3.025107299,30.31105614,55.62717303,-0.094161447,0,0.110803324,0.460841098,7.980357593,4.427096449,0,0,12.51322085,19.75069252,54.75698816,0,0
"309","OKS16","Late","2018-4114","OKS",16,"2018-08-23",2018,68.64811,-149.21931,35.6831,-7777,-7777,-7777,-7777,-7777,369.6308002,10.76061845,0.888,-7777,9.872618453,0.034,0.020552143,0.102975306,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,35.6831,4817.073365,1339.200617,9705,3.019172732,3.025107299,30.31105614,55.62717303,-0.094161447,0,0.110803324,0.460841098,7.980357593,4.427096449,0,0,12.51322085,19.75069252,54.75698816,0,0
"310","OKS16","Late","2016-0151","OKS",16,"2016-08-17",2016,68.64811,-149.21931,35.6831,8.7,51.3,7.15,-7777,-7777,355.9835601,8.337311207,1.603033677,0.315933857,6.418343673,0.054672843,-7777,-7777,3.157442912,0.791726183,13.5,-7777,-7777,-7777,36.76709082,-7777,12.06,2e-04,5e-04,0.0012,-7777,0.0035,0.000419815,2.916666667,0.0242,1.588152327,0.2766,3.017,0.0119,-7777,8e-04,1.936,-7777,0.0012,0.0017,8.337,0.0051,-7777,1.574,0.0506,0.001,0.0075,-7777,-7777,-7777,-7777,-7777,35.6831,4817.073365,1339.200617,9705,3.019172732,3.025107299,30.31105614,55.62717303,-0.094161447,0,0.110803324,0.460841098,7.980357593,4.427096449,0,0,12.51322085,19.75069252,54.75698816,0,0
"311","OKS16","Late","2016-0151","OKS",16,"2016-08-17",2016,68.64811,-149.21931,35.6831,8.7,51.3,7.15,-7777,-7777,355.9835601,8.337311207,1.603033677,0.315933857,6.418343673,0.054672843,-7777,-7777,3.157442912,0.791726183,13.5,-7777,-7777,-7777,36.76709082,-7777,12.06,2e-04,5e-04,0.0012,-7777,0.0035,0.000419815,2.916666667,0.0242,1.588152327,0.2766,3.017,0.0119,-7777,8e-04,1.936,-7777,0.0012,0.0017,8.337,0.0051,-7777,1.574,0.0506,0.001,0.0075,-7777,-7777,-7777,-7777,-7777,35.6831,4817.073365,1339.200617,9705,3.019172732,3.025107299,30.31105614,55.62717303,-0.094161447,0,0.110803324,0.460841098,7.980357593,4.427096449,0,0,12.51322085,19.75069252,54.75698816,0,0
"312","OKS16","Late","2016-0151","OKS",16,"2016-08-17",2016,68.64811,-149.21931,35.6831,8.7,51.3,7.15,-7777,-7777,355.9835601,8.337311207,1.603033677,0.315933857,6.418343673,0.054672843,-7777,-7777,3.157442912,0.791726183,13.5,-7777,-7777,-7777,36.76709082,-7777,12.06,2e-04,5e-04,0.0012,-7777,0.0035,0.000419815,2.916666667,0.0242,1.588152327,0.2766,3.017,0.0119,-7777,8e-04,1.936,-7777,0.0012,0.0017,8.337,0.0051,-7777,1.574,0.0506,0.001,0.0075,-7777,-7777,-7777,-7777,-7777,35.6831,4817.073365,1339.200617,9705,3.019172732,3.025107299,30.31105614,55.62717303,-0.094161447,0,0.110803324,0.460841098,7.980357593,4.427096449,0,0,12.51322085,19.75069252,54.75698816,0,0
"313","OKS17","Early","2017-4015","OKS",17,"2017-06-03",2017,68.63646,-149.21671,26.48895,6.6,25.6,7.04,98.3,0.93,395.6318025,6.805112575,0.416034173,2.253940231,4.135138171,0.036394489,-7777,0.196731755,3.8387859,2.06007,18.2412,19.6906,0.1675,-7777,7.1485,-7777,0.0056,0.0031,2e-04,0.0132,-7777,4.309,16.83860883,326.4393939,1e-04,2.7642,4e-04,1e-04,7e-04,0.9761,0.0584,0.3403,0.6674,0.0024,0.0071,0.2559,0.0011,0.3309,0.0177,0.0019,0.2606,0.0053,0.4238,0.0079,0.0015,3e-04,0.0012,26.48895,4898.336141,1380.567753,9465,2.742715655,2.140712551,15.30698395,54.21523277,-0.035324689,0,0.108754758,0.203915171,7.779363785,4.275421425,0,0,11.77270256,20.54445351,55.3153888,0,0
"314","OKS17","Early","2017-4015","OKS",17,"2017-06-03",2017,68.63646,-149.21671,26.48895,6.6,25.6,7.04,98.3,0.93,395.6318025,6.805112575,0.416034173,2.253940231,4.135138171,0.036394489,-7777,0.196731755,3.8387859,2.06007,18.2412,19.6906,0.1675,-7777,7.1485,-7777,0.0056,0.0031,2e-04,0.0132,-7777,4.309,16.83860883,326.4393939,1e-04,2.7642,4e-04,1e-04,7e-04,0.9761,0.0584,0.3403,0.6674,0.0024,0.0071,0.2559,0.0011,0.3309,0.0177,0.0019,0.2606,0.0053,0.4238,0.0079,0.0015,3e-04,0.0012,26.48895,4898.336141,1380.567753,9465,2.742715655,2.140712551,15.30698395,54.21523277,-0.035324689,0,0.108754758,0.203915171,7.779363785,4.275421425,0,0,11.77270256,20.54445351,55.3153888,0,0
"315","OKS17","Early","2017-4015","OKS",17,"2017-06-03",2017,68.63646,-149.21671,26.48895,6.6,25.6,7.04,98.3,0.93,395.6318025,6.805112575,0.416034173,2.253940231,4.135138171,0.036394489,-7777,0.196731755,3.8387859,2.06007,18.2412,19.6906,0.1675,-7777,7.1485,-7777,0.0056,0.0031,2e-04,0.0132,-7777,4.309,16.83860883,326.4393939,1e-04,2.7642,4e-04,1e-04,7e-04,0.9761,0.0584,0.3403,0.6674,0.0024,0.0071,0.2559,0.0011,0.3309,0.0177,0.0019,0.2606,0.0053,0.4238,0.0079,0.0015,3e-04,0.0012,26.48895,4898.336141,1380.567753,9465,2.742715655,2.140712551,15.30698395,54.21523277,-0.035324689,0,0.108754758,0.203915171,7.779363785,4.275421425,0,0,11.77270256,20.54445351,55.3153888,0,0
"316","OKS17","Late","2017-4115","OKS",17,"2017-08-24",2017,68.63646,-149.21671,26.48895,8.7,41.6,7.49,100.2,0.69,333.6227698,6.844169641,0.704697263,0.364492175,5.774980203,0.07081502,-7777,0.075977065,3.431532927,2.1244,13.7503,-7777,-7777,-7777,10.4758,-7777,0.0035,0.0075,0.0047,0.0128,-7777,7.142,19.39180016,557.96875,9e-04,1.8158,9e-04,0.0011,2e-04,1.4761,0.0609,0.1393,1.075,0.0045,7e-04,0.3683,0.001,0.3559,0.0145,0.0026,0.3786,0.0133,0.9077,0.0126,1e-04,0.0033,6e-04,26.48895,4898.336141,1380.567753,9465,2.742715655,2.140712551,15.30698395,54.21523277,-0.035324689,0,0.108754758,0.203915171,7.779363785,4.275421425,0,0,11.77270256,20.54445351,55.3153888,0,0
"317","OKS17","Late","2017-4115","OKS",17,"2017-08-24",2017,68.63646,-149.21671,26.48895,8.7,41.6,7.49,100.2,0.69,333.6227698,6.844169641,0.704697263,0.364492175,5.774980203,0.07081502,-7777,0.075977065,3.431532927,2.1244,13.7503,-7777,-7777,-7777,10.4758,-7777,0.0035,0.0075,0.0047,0.0128,-7777,7.142,19.39180016,557.96875,9e-04,1.8158,9e-04,0.0011,2e-04,1.4761,0.0609,0.1393,1.075,0.0045,7e-04,0.3683,0.001,0.3559,0.0145,0.0026,0.3786,0.0133,0.9077,0.0126,1e-04,0.0033,6e-04,26.48895,4898.336141,1380.567753,9465,2.742715655,2.140712551,15.30698395,54.21523277,-0.035324689,0,0.108754758,0.203915171,7.779363785,4.275421425,0,0,11.77270256,20.54445351,55.3153888,0,0
"318","OKS17","Late","2017-4115","OKS",17,"2017-08-24",2017,68.63646,-149.21671,26.48895,8.7,41.6,7.49,100.2,0.69,333.6227698,6.844169641,0.704697263,0.364492175,5.774980203,0.07081502,-7777,0.075977065,3.431532927,2.1244,13.7503,-7777,-7777,-7777,10.4758,-7777,0.0035,0.0075,0.0047,0.0128,-7777,7.142,19.39180016,557.96875,9e-04,1.8158,9e-04,0.0011,2e-04,1.4761,0.0609,0.1393,1.075,0.0045,7e-04,0.3683,0.001,0.3559,0.0145,0.0026,0.3786,0.0133,0.9077,0.0126,1e-04,0.0033,6e-04,26.48895,4898.336141,1380.567753,9465,2.742715655,2.140712551,15.30698395,54.21523277,-0.035324689,0,0.108754758,0.203915171,7.779363785,4.275421425,0,0,11.77270256,20.54445351,55.3153888,0,0
"319","OKS17","Late","2016-0152","OKS",17,"2016-08-17",2016,68.63646,-149.21671,26.48895,9.4,38.9,7.2,-7777,-7777,330.5446145,7.508985924,1.290935934,0.292635651,5.925414339,0.08877452,-7777,0.019182515,3.022615054,0.700179344,12,-7777,-7777,-7777,5.66991018,-7777,1.125,3e-04,3e-04,2e-04,-7777,0.0107,0.145776567,53.5,0.0347,0.902679831,0.1157,0.2359,0.0051,-7777,0.0285,0.0918,0.002,0.0083,0.012,0.0734,0.0018,-7777,0.1977,0.0027,4e-04,0.0029,0.0077,-7777,-7777,-7777,-7777,26.48895,4898.336141,1380.567753,9465,2.742715655,2.140712551,15.30698395,54.21523277,-0.035324689,0,0.108754758,0.203915171,7.779363785,4.275421425,0,0,11.77270256,20.54445351,55.3153888,0,0
"320","OKS17","Late","2016-0152","OKS",17,"2016-08-17",2016,68.63646,-149.21671,26.48895,9.4,38.9,7.2,-7777,-7777,330.5446145,7.508985924,1.290935934,0.292635651,5.925414339,0.08877452,-7777,0.019182515,3.022615054,0.700179344,12,-7777,-7777,-7777,5.66991018,-7777,1.125,3e-04,3e-04,2e-04,-7777,0.0107,0.145776567,53.5,0.0347,0.902679831,0.1157,0.2359,0.0051,-7777,0.0285,0.0918,0.002,0.0083,0.012,0.0734,0.0018,-7777,0.1977,0.0027,4e-04,0.0029,0.0077,-7777,-7777,-7777,-7777,26.48895,4898.336141,1380.567753,9465,2.742715655,2.140712551,15.30698395,54.21523277,-0.035324689,0,0.108754758,0.203915171,7.779363785,4.275421425,0,0,11.77270256,20.54445351,55.3153888,0,0
"321","OKS17","Late","2016-0152","OKS",17,"2016-08-17",2016,68.63646,-149.21671,26.48895,9.4,38.9,7.2,-7777,-7777,330.5446145,7.508985924,1.290935934,0.292635651,5.925414339,0.08877452,-7777,0.019182515,3.022615054,0.700179344,12,-7777,-7777,-7777,5.66991018,-7777,1.125,3e-04,3e-04,2e-04,-7777,0.0107,0.145776567,53.5,0.0347,0.902679831,0.1157,0.2359,0.0051,-7777,0.0285,0.0918,0.002,0.0083,0.012,0.0734,0.0018,-7777,0.1977,0.0027,4e-04,0.0029,0.0077,-7777,-7777,-7777,-7777,26.48895,4898.336141,1380.567753,9465,2.742715655,2.140712551,15.30698395,54.21523277,-0.035324689,0,0.108754758,0.203915171,7.779363785,4.275421425,0,0,11.77270256,20.54445351,55.3153888,0,0
"322","OKS17","Early","2018-4015","OKS",17,"2018-06-04",2018,68.63646,-149.21671,26.48895,-7777,-7777,-7777,-7777,-7777,422.964787,9.935549307,0.86,-7777,9.075549307,0.051,0.214675656,0.254172673,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0196,0.0192,0.0018,0.0132,-7777,3.428,16.31603998,259.6969697,2e-04,-7777,-7777,-7777,-7777,-7777,0.1458,0.3397,0.5295,0.0593,-7777,0.2101,-7777,-7777,0.0064,-7777,0.2093,-7777,0.3352,0.006,6e-04,0.0028,-7777,26.48895,4898.336141,1380.567753,9465,2.742715655,2.140712551,15.30698395,54.21523277,-0.035324689,0,0.108754758,0.203915171,7.779363785,4.275421425,0,0,11.77270256,20.54445351,55.3153888,0,0
"323","OKS17","Early","2018-4015","OKS",17,"2018-06-04",2018,68.63646,-149.21671,26.48895,-7777,-7777,-7777,-7777,-7777,422.964787,9.935549307,0.86,-7777,9.075549307,0.051,0.214675656,0.254172673,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0196,0.0192,0.0018,0.0132,-7777,3.428,16.31603998,259.6969697,2e-04,-7777,-7777,-7777,-7777,-7777,0.1458,0.3397,0.5295,0.0593,-7777,0.2101,-7777,-7777,0.0064,-7777,0.2093,-7777,0.3352,0.006,6e-04,0.0028,-7777,26.48895,4898.336141,1380.567753,9465,2.742715655,2.140712551,15.30698395,54.21523277,-0.035324689,0,0.108754758,0.203915171,7.779363785,4.275421425,0,0,11.77270256,20.54445351,55.3153888,0,0
"324","OKS17","Early","2018-4015","OKS",17,"2018-06-04",2018,68.63646,-149.21671,26.48895,-7777,-7777,-7777,-7777,-7777,422.964787,9.935549307,0.86,-7777,9.075549307,0.051,0.214675656,0.254172673,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0196,0.0192,0.0018,0.0132,-7777,3.428,16.31603998,259.6969697,2e-04,-7777,-7777,-7777,-7777,-7777,0.1458,0.3397,0.5295,0.0593,-7777,0.2101,-7777,-7777,0.0064,-7777,0.2093,-7777,0.3352,0.006,6e-04,0.0028,-7777,26.48895,4898.336141,1380.567753,9465,2.742715655,2.140712551,15.30698395,54.21523277,-0.035324689,0,0.108754758,0.203915171,7.779363785,4.275421425,0,0,11.77270256,20.54445351,55.3153888,0,0
"325","OKS17","Late","2018-4115","OKS",17,"2018-08-23",2018,68.63646,-149.21671,26.48895,-7777,-7777,-7777,-7777,-7777,332.6189409,9.252806349,0.763,-7777,8.489806349,0.028,0.017842325,0.075946921,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,26.48895,4898.336141,1380.567753,9465,2.742715655,2.140712551,15.30698395,54.21523277,-0.035324689,0,0.108754758,0.203915171,7.779363785,4.275421425,0,0,11.77270256,20.54445351,55.3153888,0,0
"326","OKS17","Late","2018-4115","OKS",17,"2018-08-23",2018,68.63646,-149.21671,26.48895,-7777,-7777,-7777,-7777,-7777,332.6189409,9.252806349,0.763,-7777,8.489806349,0.028,0.017842325,0.075946921,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,26.48895,4898.336141,1380.567753,9465,2.742715655,2.140712551,15.30698395,54.21523277,-0.035324689,0,0.108754758,0.203915171,7.779363785,4.275421425,0,0,11.77270256,20.54445351,55.3153888,0,0
